Polish sentence	English meaning	Frequency
Co to jest?	What's this?	[ 22 6 1 ]
Co jest?	What's up?	[ 22 1 ]
To co?	Then what?	[ 6 22 ]
Nie mogę.	I can not.	[ 5 24 ]
Nie, nie ma za dużo.	No, not too much.	[ 5 5 12 11 42 ]
Nie, to nie tak.	That's not how I feel.	[ 5 6 5 54 ]
Jak się masz?	How are you doing?	[ 20 2 37 ]
Co to było?	What was that?	[ 22 6 36 ]
To nie tak.	That is not the case.	[ 6 5 54 ]
Bardzo to lubię.	I like it very much.	[ 15 6 47 ]
Nie ma go teraz.	He isn't here now.	[ 5 12 21 63 ]
Już Cię nie lubię.	I don't like you anymore.	[ 25 26 5 47 ]
Coś tu jest nie tak.	Something is wrong here.	[ 38 32 1 5 54 ]
To dobrze, co nie?	That's good, isn't it?	[ 6 80 22 5 ]
Bardzo cię lubię.	I like you very much.	[ 15 26 47 ]
Co masz?	What do you have?	[ 22 37 ]
Już go nie lubię tak jak on mnie.	I don't like him any more than he likes me.	[ 25 21 5 47 54 20 65 14 ]
Nie chcę już tego.	I don't want it anymore.	[ 5 77 25 19 ]
On go nie lubi.	She didn't like him.	[ 65 21 5 35 ]
Co będzie, to będzie.	Whatever will be, will be.	[ 22 51 6 51 ]
On tu jest!	He is here!	[ 65 32 1 ]
Tu i tam.	Here and there.	[ 32 27 40 ]
Jestem tam.	I am there.	[ 30 40 ]
To moje.	That's mine.	[ 6 64 ]
To jest jej dom.	That is her house.	[ 6 1 33 103 ]
Co z tobą jest nie tak?	What's wrong with you?	[ 22 8 127 1 5 54 ]
Lubię cię.	I like you.	[ 47 26 ]
To dla ciebie.	This is for you.	[ 6 31 75 ]
Nie wiem, co to jest.	I don't know what it is.	[ 5 154 22 6 1 ]
To jest mój dom.	This is my house.	[ 6 1 41 103 ]
Co jeszcze masz?	What else do you have?	[ 22 56 37 ]
Tak, mogę.	Yes, I can.	[ 54 24 ]
To jest jej samochód.	That is her car.	[ 6 1 33 122 ]
Tu jest książka.	Here is a book.	[ 32 1 90 ]
Jeszcze ich nie ma.	They aren't here yet.	[ 56 93 5 12 ]
Tak czy nie?	Yes or no?	[ 54 67 5 ]
Jestem w tym bardzo dobry.	I'm very good at it.	[ 30 3 46 15 119 ]
Czy to nie ich?	Isn't that theirs?	[ 67 6 5 93 ]
Dobrze mi tu być.	It's a pleasure to be here.	[ 80 9 32 50 ]
Lubię ją bardzo.	I like her very much.	[ 47 68 15 ]
Jesteś bardzo dobry w tym.	You're very good at this.	[ 49 15 119 3 46 ]
Ona go nie lubi.	She disliked him.	[ 125 21 5 35 ]
Proszę bardzo, nie ma za co.	You're welcome.	[ 216 15 5 12 11 22 ]
Tak, tam.	Yes, over there.	[ 54 40 ]
Czy to jest Twój samochód?	Is that your car?	[ 67 6 1 39 122 ]
Ten list jest do mnie.	The letter is for me.	[ 23 191 1 7 14 ]
To jej dom.	This is her house.	[ 6 33 103 ]
Nie lubię się uczyć.	I don't like studying.	[ 5 47 2 136 ]
To jego dom.	That is his house.	[ 6 34 103 ]
On nas nie lubi.	He doesn't like us.	[ 65 86 5 35 ]
On nie lubi nas.	He does not like us.	[ 65 5 35 86 ]
To jest mój pokój.	This is my room.	[ 6 1 41 143 ]
To książka.	That's a book.	[ 6 90 ]
Być może mam coś dla ciebie.	I may have something for you.	[ 50 53 43 38 31 75 ]
To twoje?	Is it yours?	[ 6 91 ]
To mój dom.	This is my house.	[ 6 41 103 ]
Gdzie on jest?	Where is he?	[ 84 65 1 ]
Naprawdę go lubię!	I really like him!	[ 83 21 47 ]
Nie ma to jak w domu.	There is no place like home.	[ 5 12 6 20 3 256 ]
Może być.	This'll do.	[ 53 50 ]
